artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,angestellte,angestellten,employee,arbeit,,
der,architekt,architekten,architecht(f.),arbeit,arbeitsplaetze,
der,beruf,berufe,work,arbeit,,
der,exportkaufmann,exportkaufleute,export merchant,arbeit,arbeitsplaetze,
der,hotelfachmann,hotelfachleute,hotel employee,arbeit,arbeitsplaetze,
der,job,jobs,job,arbeit,,
der,programmierer,-,programmer,arbeit,arbeitsplaetze,
der,tierarzt,tieraerzte,vet,arbeit,arbeitsplaetze,
der,verkaeufer,-,merchnat,arbeit,arbeitsplaetze,
der,shauspieler,-,actor,arbeit,arbeitsplaetze,
die,shauspielerin,-,actress,arbeit,arbeitsplaetze,
der,saenger,-,singer,arbeit,arbeitsplaetze,
der,tennisspieler,-,tennis player,arbeit,arbeitsplaetze,
der,arzt,aerzte,doctor,arbeit,arbeitsplaetze,
der,chef,chefs,boss,arbeit,arbeitsplaetze,
der,koch,koeche,chef,arbeit,arbeitsplaetze,
der,kuenstler,-,artist,arbeit,arbeitsplaetze,
der,techniker,-,technician,arbeit,arbeitsplaetze,
das,au-pair-maedchen,-,babysitter,arbeit,arbeitsplaetze,
das,marketing,/,marketing,arbeit,,
das,model,modelle,model,arbeit,personen,
die,architektin,architektinen,architect,arbeit,arbeitsplaetze,
die,aerztin,aerztinnen,doctor(f.),arbeit,arbeitsplaetze,
die,ausbildung,ausbildungen,apprenticeship,arbeit,arbeitsplaetze,
die,flugbegleiterin,flugbegleiterinnen,hostess,arbeit,arbeitsplaetze,
die,friseurin,friseurinnen,hairstylist(f.),arbeit,arbeitsplaetze,
die,gruppenarbeit,gruppenarbeiten,group work,arbeit,,
die,partnerarbeit,partnerarbeiten,duo work,arbeit,,
die,hotelfachfrau,hotelfachfrauen,hotel employee(f.),arbeit,arbeitsplaetze,
