artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,cent,cents,cent,geld,,
der,euro,euros,euro,geld,,
das,geld,/,money,geld,,
die,ermaessigung,ermaessigungen,discount,geld,,
die,nebenkosten,*,additional costs,geld,,
der,cent,cents,cent,geld,,
der,euro,euros,euro,geld,,
das,geld,/,money,geld,,
die,ermaessigung,ermaessigungen,discount,geld,,
die,nebenkosten,*,additional costs,geld,,
der,cent,cents,cent,geld,,
der,euro,euros,euro,geld,,
das,geld,/,money,geld,,
die,ermaessigung,ermaessigungen,discount,geld,,
die,nebenkosten,*,additional costs,geld,,
der,cent,cents,cent,geld,,
der,euro,euros,euro,geld,,
das,geld,/,money,geld,,
die,ermaessigung,ermaessigungen,discount,geld,,
die,nebenkosten,*,additional costs,geld,,
