artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
das,wissen,/,science,wissen,,
das,wort,woerter,word,wissen,,
das,woerterbuch,woerterbuecher,dictionary,wissen,,
die,germanistik,/,german studies,wissen,,
die,informatik,/,information science,wissen,,
die,paedagogik,/,pedagogy,wissen,,
die,grammatik,grammatiken,grammar,wissen,,
die,kenntnisse,/,knowledge,wissen,,
die,medizin,medizinen,medicine,wissen,,
die,wirtschaft,wirtschaften,economics,wissen,,
die,biologie,/,biology,wissen,,
die,chemie,/,chemistry,wissen,,
die,ethik,/,ethics,wissen,,
die,geografie,/,geography,wissen,,
die,geschichte,/,history,wissen,,
die,naturwissenschaften,/,natural sciences,wissen,,
die,kunst,/,drawing,wissen,,
die,physik,/,physics,wissen,,
die,religion,/,religion,wissen,,
die,sozialkunde,/,social studies,wissen,,
die,vokabel,vokabeln,vocab,wissen,,
die,brille,/,brayille's method,wissen,,
das,wissen,/,science,wissen,,
das,wort,woerter,word,wissen,,
das,woerterbuch,woerterbuecher,dictionary,wissen,,
die,germanistik,/,german studies,wissen,,
die,informatik,/,information science,wissen,,
die,paedagogik,/,pedagogy,wissen,,
die,grammatik,grammatiken,grammar,wissen,,
die,kenntnisse,/,knowledge,wissen,,
die,medizin,medizinen,medicine,wissen,,
die,wirtschaft,wirtschaften,economics,wissen,,
die,biologie,/,biology,wissen,,
die,chemie,/,chemistry,wissen,,
die,ethik,/,ethics,wissen,,
die,geografie,/,geography,wissen,,
die,geschichte,/,history,wissen,,
die,naturwissenschaften,/,natural sciences,wissen,,
die,kunst,/,drawing,wissen,,
die,physik,/,physics,wissen,,
die,religion,/,religion,wissen,,
die,sozialkunde,/,social studies,wissen,,
die,vokabel,vokabeln,vocab,wissen,,
die,brille,/,brayille's method,wissen,,
das,wissen,/,science,wissen,,
das,wort,woerter,word,wissen,,
das,woerterbuch,woerterbuecher,dictionary,wissen,,
die,germanistik,/,german studies,wissen,,
die,informatik,/,information science,wissen,,
die,paedagogik,/,pedagogy,wissen,,
die,grammatik,grammatiken,grammar,wissen,,
die,kenntnisse,/,knowledge,wissen,,
die,medizin,medizinen,medicine,wissen,,
die,wirtschaft,wirtschaften,economics,wissen,,
die,biologie,/,biology,wissen,,
die,chemie,/,chemistry,wissen,,
die,ethik,/,ethics,wissen,,
die,geografie,/,geography,wissen,,
die,geschichte,/,history,wissen,,
die,naturwissenschaften,/,natural sciences,wissen,,
die,kunst,/,drawing,wissen,,
die,physik,/,physics,wissen,,
die,religion,/,religion,wissen,,
die,sozialkunde,/,social studies,wissen,,
die,vokabel,vokabeln,vocab,wissen,,
die,brille,/,brayille's method,wissen,,
das,wissen,/,science,wissen,,
das,wort,woerter,word,wissen,,
das,woerterbuch,woerterbuecher,dictionary,wissen,,
die,germanistik,/,german studies,wissen,,
die,informatik,/,information science,wissen,,
die,paedagogik,/,pedagogy,wissen,,
die,grammatik,grammatiken,grammar,wissen,,
die,kenntnisse,/,knowledge,wissen,,
die,medizin,medizinen,medicine,wissen,,
die,wirtschaft,wirtschaften,economics,wissen,,
die,biologie,/,biology,wissen,,
die,chemie,/,chemistry,wissen,,
die,ethik,/,ethics,wissen,,
die,geografie,/,geography,wissen,,
die,geschichte,/,history,wissen,,
die,naturwissenschaften,/,natural sciences,wissen,,
die,kunst,/,drawing,wissen,,
die,physik,/,physics,wissen,,
die,religion,/,religion,wissen,,
die,sozialkunde,/,social studies,wissen,,
die,vokabel,vokabeln,vocab,wissen,,
die,brille,/,brayille's method,wissen,,
