artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,bus,busse,bus,transport,,
der,zug,zuege,train,transport,,
das,auto,autos,car,transport,,
das,fahrrad,fahrraeder,bike,transport,,
das,rad,raeder,bicycle (starts with R),transport,,
das,schiff,schiffe,ship,transport,,
das,flugzeug,flugzeuge,airplane,transport,,
das,gleis,gleise,track,transport,,
das,taxi,taxis,taxi,transport,,
das,verkerhrsmitteln,/,means of transport,transport,,
die,fahrkarte,fahrkarten,boarding ticket,transport,,
die,u-bahn,u-bahnen,the underground,transport,,
die,s-bahn,s-bahnen,suburban train,transport,,
der,abflug,abfluege,take off,transport,,
der,anschluss,anschluesse,connection,transport,,
der,ausgang,ausgaenge,exit,transport,,
der,LKW,LKWs,truck,transport,,
der,flug,fluege,flight,transport,,
der,fuehrerschein,fuehrerscheine,driver license,transport,,
der,koffer,-,suitcase,transport,,
das,verkehrsmittel,verkehrsmitteln,means of transportation,transport,,
das,verkehrsschild,verkehrsschilder,traffic signs,transport,,
die,ampel,ampeln,traffic sign,transport,,
die,ankunft,ankuenfte,arrival,transport,,
die,bushaltstelle,bushaltstellen,bus stop,transport,,
die,autobahn,autobahnen,highway,transport,,
die,bahn,bahnen,railway station,transport,,
