artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,abend,abende,night,zeit,,
der,fruehling,fruehlinge,spring,zeit,jahreszeit,
der,geburtstag,geburtstage,birthday,zeit,,
der,herbst,herbste,autumn,zeit,jahreszeit,
der,sommer,-,summer,zeit,jahreszeit,
der,winter,-,winter,zeit,jahreszeit,
der,morgen,-,morning,zeit,,
der,nachmittag,nachmittage,afternoon,zeit,,
der,vormittag,vormittage,before noon,zeit,,
der,tag,tage,day,zeit,,
der,montag,montags,monday,zeit,wochenzeit,
der,dienstag,dienstags,tuesday,zeit,wochenzeit,
der,mittwoch,mittwochs,wednesday,zeit,wochenzeit,
der,donnerstag,donnerstags,thursday,zeit,wochenzeit,
der,freitag,freitags,friday,zeit,wochenzeit,
der,samstag,samstags,saturday,zeit,wochenzeit,
der,sonnentag,sonnentags,sunday,zeit,wochenzeit,
der,sonnabend,sonnabends,saturday,zeit,wochenzeit,
der,monat,monate,month,zeit,monate,
der,januar,/,january,zeit,monate,
der,februar,/,february,zeit,monate,
der,marz,/,march,zeit,monate,
der,april,/,april,zeit,monate,
der,mai,/,may,zeit,monate,
der,juni,/,june,zeit,monate,
der,juli,/,july,zeit,monate,
der,august,/,august,zeit,monate,
der,september,/,september,zeit,monate,
der,oktober,/,october,zeit,monate,
der,november,/,november,zeit,monate,
der,dezember,/,december,zeit,monate,
der,wochentag,wochentage,weekday,zeit,wochenzeit,
das,wochenende,wochenenden,weekend,zeit,wochenzeit,
der,moment,momente,moment,zeit,,
das,jahr,jahre,year,zeit,,
das,ende,enden,end,zeit,,
das,weihnachten,/,christmas,zeit,,
die,dauer,-,period,zeit,,
die,feier,feiern,celebration(f.),zeit,,
die,freizeit,freizeiten,free time,zeit,,
die,hochzeit,hochzeiten,wedding,zeit,,
die,jahreszeit,jahreszeiten,season,zeit,,
die,nacht,naechte,night,zeit,,
die,oeffnungzeit,oeffnungzeiten,opening hours,zeit,,
die,tageszeit,tageszeiten,times of day,zeit,,
die,uhr,uhren,hour,zeit,,
die,uhrzeit,uhrzeiten,time,zeit,,
die,woche,wochen,week,zeit,,
die,minute,minuten,minute,zeit,,
die,sekunde,sekunden,second,zeit,,
das,ostern,-,easter,zeit,,
das,silvester,-,new year eve,zeit,,
die,verspaetung,/,delay,zeit,,
